Shipment Date,Matching Fields,Consignee,Consignee_Clean,Consignee Full Address,Consignee_Address,Consignee Email 1,Consignee Phone 1,Consignee Website 1,Consignee Profile,Consignee Trade Roles,Shipper,Shipper_Clean,Shipper Full Address,Shipper_Address,Shipper Email 1,Shipper Phone 1,Shipper Website 1,Shipper Profile,Shipper Trade Roles,Notify Party,Notify_Party,HS Code,Goods Shipped,Volume (TEU),Gross Weight (kg)
2021-07-27,HS Code (4-digit),Industria De Papeis Sudeste Ltda,Industria De Papeis Sudeste Ltda,"Av. Antônio Simão Firjam, 1205 - Distrito Industrial, Juiz de Fora - MG, 36092-000, Brazil","Av. Antônio Simão Firjam, 1205 - Distrito Industrial, Juiz de Fora - MG, 36092-000, Brazil",,,,https://panjiva.com/Industria-De-Papeis-Sudeste-Ltda/108471753,Manufacturer,Cellmark Inc.,Cellmark Inc.,"4294 Swinnea Rd, Memphis, TN 38118, USA","4294 Swinnea Rd, Memphis, TN 38118, USA",anamaria.candanoza@cellmark.com,+1 415 945 2400,,https://panjiva.com/Cellmark-Inc/34600185,Logistics,INDUSTRIA DE PAPEIS SUDESTE LTDA,INDUSTRIA DE PAPEIS SUDESTE LTDA,47071000,2 X 40 CONTAINERS CONTAINING 42 BALES OF WASTE PAPER DOUBLE SORTED OCC - APARAS DE PAPELAO OND. +POS CONSUMO,4,48463
2021-07-27,HS Code (4-digit),Jaepel Papeis E Embalagens Sa,Jaepel Papeis E Embalagens Sa,RUA EIXO PRINCIPAL SN QD 02 MOD 01 20 AGROINDUSTRIAL - SENADOR CANEDO - GO - 75250000,RUA EIXO PRINCIPAL SN QD 02 MOD 01 20 AGROINDUSTRIAL - SENADOR CANEDO - GO - 75250000,,,,https://panjiva.com/Jaepel-Papeis-E-Embalagens-SA/41812284,Manufacturer,Recuperadora De Carton Sa De Cv,Recuperadora De Carton Sa De Cv,AUTOPISTA A LA LIMA FRENTE AENTRA DA PRI ATRAS - - - 0,AUTOPISTA A LA LIMA FRENTE AENTRA DA PRI ATRAS - - - 0,,,,https://panjiva.com/Recuperadora-De-Carton-SA-De-Cv/104748832,,JAEPEL PAPEIS E EMBALAGENS SA,JAEPEL PAPEIS E EMBALAGENS SA,47071000,10 X 40 CONTAINERS CONTAINING 358 BALES OF WASTE PAPER - OCC 12,20,230306
2021-07-27,HS Code (4-digit),Trombini Embalagens Sa,Trombini Embalagens Sa,"R. José Casagrande, 803 - Vista Alegre, Curitiba - PR, Brazil","R. José Casagrande, 803 - Vista Alegre, Curitiba - PR, Brazil",,,,https://panjiva.com/Trombini-Embalagens-SA/42209352,Manufacturer,Cellmark Inc.,Cellmark Inc.,"4294 Swinnea Rd, Memphis, TN 38118, USA","4294 Swinnea Rd, Memphis, TN 38118, USA",anamaria.candanoza@cellmark.com,+1 415 945 2400,,https://panjiva.com/Cellmark-Inc/34600185,Logistics,TROMBINI EMBALAGENS SA,TROMBINI EMBALAGENS SA,47070000,4 X 40 CONTAINERS CONTAINING 116 BALES OF WASTE PAPER DSOCCDOUBLE SORTED OCC APARASE DESPERDICIOS DE PAPEL KRAFT ONDULADO ESPECIAL POS CONSUMO,8,95001
2021-07-27,HS Code (4-digit),Smurfit Kappa Do Brasil Industria De Embalagens Sa,Smurfit Kappa Do Brasil Industria De Embalagens Sa,"R. Inpa, 186 - Centro, Pirapetinga - MG, 36730-000, Brazil","R. Inpa, 186 - Centro, Pirapetinga - MG, 36730-000, Brazil",,,,https://panjiva.com/Smurfit-Kappa-Do-Brasil-Industria-De-Embalagens-SA/66600730,Manufacturer,Gp Harmon Recycling Llc,Gp Harmon Recycling Llc,"2 Jericho Plaza, Jericho, NY 11753, USA","2 Jericho Plaza, Jericho, NY 11753, USA",sara.levi@gapac.com,+1 516 997 3400,,https://panjiva.com/Gp-Harmon-Recycling-Llc/4020527,Wholesale,SMURFIT KAPPA DO BRASIL INDUSTRIA DE EMBALAGENS SA,SMURFIT KAPPA DO BRASIL INDUSTRIA DE EMBALAGENS SA,47071000,1 X 40 CONTAINERS CONTAINING 33 BALES OF DOUBLE LINED KRAFT - DLK PRE CONSUMO,2,20312
2021-07-24,HS Code (4-digit),Penha Papeis & Embalagens Ltda,Penha Papeis & Embalagens Ltda,"BR-420, Santo Amaro - BA, Brazil","BR-420, Santo Amaro - BA, Brazil",,,,https://panjiva.com/Penha-Papeis-Embalagens-Ltda/100699755,Manufacturer,Cellmark Inc.,Cellmark Inc.,"4294 Swinnea Rd, Memphis, TN 38118, USA","4294 Swinnea Rd, Memphis, TN 38118, USA",anamaria.candanoza@cellmark.com,+1 415 945 2400,,https://panjiva.com/Cellmark-Inc/34600185,Logistics,PENHA PAPEIS & EMBALAGENS LTDA,PENHA PAPEIS & EMBALAGENS LTDA,47071000,1 X 40 CONTAINERS CONTAINING 39 BALES OF WASTE PAPER DOUBLE SORTED OCC - APARAS DE PAPEL ONDULADO OCC,2,24521
2021-07-23,HS Code (4-digit),Cartonificio Valinhos Sa,Cartonificio Valinhos Sa,"R. Doze de Outubro, 20 - Vila Santana, Valinhos - SP, Brazil","R. Doze de Outubro, 20 - Vila Santana, Valinhos - SP, Brazil",,,,https://panjiva.com/Cartonificio-Valinhos-SA/37428777,,Ekman,Ekman,United States,United States,,,,https://panjiva.com/Ekman/108474207,,CARTONIFICIO VALINHOS SA,CARTONIFICIO VALINHOS SA,47071000,8 X 40 & 2 X 40 CONTAINERS CONTAINING 290 BALES OF WASTE PAPER,20,250503.01
2021-07-23,HS Code (4-digit),Axis Shipping Agenciamento De Cargas Ltda,Axis Shipping Agenciamento De Cargas Ltda,"Av. Álvares Cabral, 982 - CONJ 301 E 302 - Lourdes, Belo Horizonte - MG, 30170-000, Brazil","Av. Álvares Cabral, 982 - CONJ 301 E 302 - Lourdes, Belo Horizonte - MG, 30170-000, Brazil",,+55 31 3311 8111,,https://panjiva.com/Axis-Shipping-Agenciamento-De-Cargas-Ltda/36026189,Logistics,Draco Freight Logistics Corporation,Draco Freight Logistics Corporation,United States,United States,,,,https://panjiva.com/Draco-Freight-Logistics-Corporation/106983958,Logistics,AXIS SHIPPING,AXIS SHIPPING,47070000,5 X 40 CONTAINERS CONTAINING 145 BALES OF CORRUGATED CARDBOARD,10,123842
2021-07-23,HS Code (4-digit),Cartonificio Valinhos Sa,Cartonificio Valinhos Sa,"R. Doze de Outubro, 20 - Vila Santana, Valinhos - SP, Brazil","R. Doze de Outubro, 20 - Vila Santana, Valinhos - SP, Brazil",,,,https://panjiva.com/Cartonificio-Valinhos-SA/37428777,,Ekman,Ekman,United States,United States,,,,https://panjiva.com/Ekman/108474207,,CARTONIFICIO VALINHOS SA,CARTONIFICIO VALINHOS SA,47071000,13 X 40 & 2 X 40 CONTAINERS CONTAINING 499 BALES OF BALES WASTE PAPER,30,377092.99
2021-07-22,HS Code (4-digit),Klabin Sa,Klabin Sa,"Av. Cristóvão Colombo, Piracicaba - SP, Brazil","Av. Cristóvão Colombo, Piracicaba - SP, Brazil",,,,https://panjiva.com/Klabin-SA/41673482,,Cellmark Inc.,Cellmark Inc.,"4294 Swinnea Rd, Memphis, TN 38118, USA","4294 Swinnea Rd, Memphis, TN 38118, USA",anamaria.candanoza@cellmark.com,+1 415 945 2400,,https://panjiva.com/Cellmark-Inc/34600185,Logistics,KLABIN SA,KLABIN SA,47071000,10 X 40 CONTAINERS CONTAINING 430 BALES OF WASTE PAPER DOUBLE SORTED OCC APARAS DE PAPELONDULADO OCC,20,251819
2021-07-22,HS Code (4-digit),Klabin Sa,Klabin Sa,"Av. Cristóvão Colombo, Piracicaba - SP, Brazil","Av. Cristóvão Colombo, Piracicaba - SP, Brazil",,,,https://panjiva.com/Klabin-SA/41673482,,Cellmark Inc.,Cellmark Inc.,"4294 Swinnea Rd, Memphis, TN 38118, USA","4294 Swinnea Rd, Memphis, TN 38118, USA",anamaria.candanoza@cellmark.com,+1 415 945 2400,,https://panjiva.com/Cellmark-Inc/34600185,Logistics,KLABIN SA,KLABIN SA,47071000,15 X 40 CONTAINERS CONTAINING 475 BALES OF WASTE PAPER DOUBLE SORTED OCC APARAS DE PAPELONDULADO OCC,30,376041.99
2021-07-22,HS Code (4-digit),Isidorio & Moraes Papeis E Embalagens Ltda,Isidorio & Moraes Papeis E Embalagens Ltda,RODOVIA ALKINDAR MONTEIRO J S N KM 298 AC VIC MOEN SITIO MOENDA - ITATIBA - SP - 13252810,RODOVIA ALKINDAR MONTEIRO J S N KM 298 AC VIC MOEN SITIO MOENDA - ITATIBA - SP - 13252810,,,,https://panjiva.com/Isidorio-Moraes-Papeis-E-Embalagens-Ltda/39202222,Manufacturer,Cellmark Inc.,Cellmark Inc.,"4294 Swinnea Rd, Memphis, TN 38118, USA","4294 Swinnea Rd, Memphis, TN 38118, USA",anamaria.candanoza@cellmark.com,+1 415 945 2400,,https://panjiva.com/Cellmark-Inc/34600185,Logistics,ISIDORIO & MORAES PAPEIS E EMBALAGENS LTDA,ISIDORIO & MORAES PAPEIS E EMBALAGENS LTDA,47071000,5 X 40 CONTAINERS CONTAINING 147 BALES OF WASTE PAPER DOUBLE SORTED OCC - APARAS DE PAPELAO OCC,10,125283
2021-07-22,HS Code (4-digit),Jaepel Papeis E Embalagens Sa,Jaepel Papeis E Embalagens Sa,RUA EIXO PRINCIPAL SN QD 02 MOD 01 20 AGROINDUSTRIAL - SENADOR CANEDO - GO - 75250000,RUA EIXO PRINCIPAL SN QD 02 MOD 01 20 AGROINDUSTRIAL - SENADOR CANEDO - GO - 75250000,,,,https://panjiva.com/Jaepel-Papeis-E-Embalagens-SA/41812284,Manufacturer,Cellmark Inc.,Cellmark Inc.,"4294 Swinnea Rd, Memphis, TN 38118, USA","4294 Swinnea Rd, Memphis, TN 38118, USA",anamaria.candanoza@cellmark.com,+1 415 945 2400,,https://panjiva.com/Cellmark-Inc/34600185,Logistics,ADUANA PROJETOS DESPACHOS & TRANSPORTES LTDA,ADUANA PROJETOS DESPACHOS & TRANSPORTES LTDA,47070000,3 X 40 CONTAINERS CONTAINING 108 BALES OF WASTE PAPER,6,80213
2021-07-22,HS Code (4-digit),Klabin Sa,Klabin Sa,"Rua Henedina de Oliveira Bresler, 150 - Sol Nascente, Paulínia - SP, 13145-002, Brazil","Rua Henedina de Oliveira Bresler, 150 - Sol Nascente, Paulínia - SP, 13145-002, Brazil",,,,https://panjiva.com/Klabin-SA/108471773,,Cellmark Inc.,Cellmark Inc.,"4294 Swinnea Rd, Memphis, TN 38118, USA","4294 Swinnea Rd, Memphis, TN 38118, USA",anamaria.candanoza@cellmark.com,+1 415 945 2400,,https://panjiva.com/Cellmark-Inc/34600185,Logistics,KLABIN SA,KLABIN SA,47071000,7 X 40 CONTAINERS CONTAINING 161 BALES OF WASTE PAPER DOUBLE SORTED OCC,14,166796.01
2021-07-22,HS Code (4-digit),Imaribo Sa Industria & Comercio,Imaribo Sa Industria & Comercio,"SC-452, 1644 - 01, Monte Carlo - SC, 89618-000, Brazil","SC-452, 1644 - 01, Monte Carlo - SC, 89618-000, Brazil",,,,https://panjiva.com/Imaribo-SA-Industria-Comercio/108471756,,Fortis Trade Ltd.,Fortis Trade Ltd.,"145 Chadwick Ct, North Vancouver, BC V7M 3K2, Canada","145 Chadwick Ct, North Vancouver, BC V7M 3K2, Canada",,,,https://panjiva.com/Fortis-Trade-Ltd/108474270,Trading Company,IMARIBO SA INDUSTRIA & COMERCIO,IMARIBO SA INDUSTRIA & COMERCIO,47079000,8 X 40 CONTAINERS CONTAINING 303 BALES OF FORTIS WASTEPAPER,16,179014.01
2021-07-21,HS Code (4-digit),Industria De Embalagens Tocantins Ltda,Industria De Embalagens Tocantins Ltda,"Estrada Municipal dos Pericos, 200 - KM 2,5 Bairro dos Rabelos, Camanducaia - MG, 37650-000, Brazil","Estrada Municipal dos Pericos, 200 - KM 2,5 Bairro dos Rabelos, Camanducaia - MG, 37650-000, Brazil",,,,https://panjiva.com/Industria-De-Embalagens-Tocantins-Ltda/36031962,Manufacturer,Ekman,Ekman,United States,United States,,,,https://panjiva.com/Ekman/108474207,,INDUSTRIA DE EMBALAGENS TOCANTINS LTDA,INDUSTRIA DE EMBALAGENS TOCANTINS LTDA,47070000,30 X 40 CONTAINERS CONTAINING 933 BALES OF WASTE PAPER APARAS OCC 12 ONDULADO II,60,741676.03
2021-07-20,HS Code (4-digit),Brasil Mundi Importacao & Exportacao Ltda,Brasil Mundi Importacao & Exportacao Ltda,"R. Fúlvio Aducci, 1214 - Estreito, Florianópolis - SC, 88075-001, Brazil","R. Fúlvio Aducci, 1214 - Estreito, Florianópolis - SC, 88075-001, Brazil",,,,https://panjiva.com/Brasil-Mundi-Importacao-Exportacao-Ltda/63401513,Trading Company,Ekman,Ekman,United States,United States,,,,https://panjiva.com/Ekman/108474207,,BRASIL MUNDI IMPORTACAO & EXPORTACAO LTDA,BRASIL MUNDI IMPORTACAO & EXPORTACAO LTDA,47070000,5 X 40 CONTAINERS CONTAINING 196 BALES OF WASTE PAPER- OCC12 APARAS PAPELAO ONDULADO,10,125129
2021-07-19,HS Code (4-digit),Irani Papel E Embalagem S.A.,Irani Papel E Embalagem S.A.,"BR-153, Vargem Bonita - SC, 89675-000, Brazil","BR-153, Vargem Bonita - SC, 89675-000, Brazil",,,,https://panjiva.com/Irani-Papel-E-Embalagem-S-A/87841974,,Cellmark Inc.,Cellmark Inc.,"4294 Swinnea Rd, Memphis, TN 38118, USA","4294 Swinnea Rd, Memphis, TN 38118, USA",anamaria.candanoza@cellmark.com,+1 415 945 2400,,https://panjiva.com/Cellmark-Inc/34600185,Logistics,BRASIL MUNDI IMPORTACAO & EXPORTACAO LTDA,BRASIL MUNDI IMPORTACAO & EXPORTACAO LTDA,47071000,4 X 40 CONTAINERS CONTAINING 125 BALES OF WASTE PAPER DOUBLE SORTED OCC - APARAS DE PAPEL ONDULADO OCC,8,99093
2021-07-19,HS Code (4-digit),Adami Sa Madeiras,Adami Sa Madeiras,"R. Nereu Ramos, 196 - Centro, Caçador - SC, 89500-000, Brazil","R. Nereu Ramos, 196 - Centro, Caçador - SC, 89500-000, Brazil",,+55 49 3561 3200,,https://panjiva.com/Adami-SA-Madeiras/36028203,,Cellmark Inc.,Cellmark Inc.,"4294 Swinnea Rd, Memphis, TN 38118, USA","4294 Swinnea Rd, Memphis, TN 38118, USA",anamaria.candanoza@cellmark.com,+1 415 945 2400,,https://panjiva.com/Cellmark-Inc/34600185,Logistics,ADAMI SA MADEIRAS,ADAMI SA MADEIRAS,47071000,3 X 40 CONTAINERS CONTAINING 84 BALES OF WASTE PAPER DOUBLE SORTED OCC APARAS DE PAPELONDULADO OCC,6,73174
2021-07-19,HS Code (4-digit),Penha Papeis Vivida Ltda,Penha Papeis Vivida Ltda,"Ponte Rio Chopim, Pato Branco - PR, Brazil","Ponte Rio Chopim, Pato Branco - PR, Brazil",,,,https://panjiva.com/Penha-Papeis-Vivida-Ltda/104746010,,Cellmark Inc.,Cellmark Inc.,"4294 Swinnea Rd, Memphis, TN 38118, USA","4294 Swinnea Rd, Memphis, TN 38118, USA",anamaria.candanoza@cellmark.com,+1 415 945 2400,,https://panjiva.com/Cellmark-Inc/34600185,Logistics,PENHA PAPEIS VIVIDA LTDA,PENHA PAPEIS VIVIDA LTDA,47071000,3 X 40 CONTAINERS CONTAINING 128 BALES OF WASTE PAPER DOUBLE SORTED OCC APARAS DE PAPELONDULADO OCC,6,74118
2021-07-19,HS Code (4-digit),Fabrica De Papel E Papelao Nossa Senhora Da Penha Sa,Fabrica De Papel E Papelao Nossa Senhora Da Penha Sa,"Rodovia BR 158 Km 495, S/N - Ponte do Rio Chopim, Cel. Vivida - PR, 85550-000, Brazil","Rodovia BR 158 Km 495, S/N - Ponte do Rio Chopim, Cel. Vivida - PR, 85550-000, Brazil",,,,https://panjiva.com/Fabrica-De-Papel-E-Papelao-Nossa-Senhora-Da-Penha-SA/48500061,Manufacturer,Ekman,Ekman,United States,United States,,,,https://panjiva.com/Ekman/108474207,,FABRICA DE PAPEL E PAPELAO NOSSA SENHORA DA PENHA SA,FABRICA DE PAPEL E PAPELAO NOSSA SENHORA DA PENHA SA,47071000,6 X 40 CONTAINERS CONTAINING 274 BALES OF WASTE PAPER - TOBACCO BOXES APARAS CAIXA DE TABACOEUA POS CONSUMO,12,145496
2021-07-19,HS Code (4-digit),Novacki Papel & Embalagens Sa,Novacki Papel & Embalagens Sa,"R. Expedicionário Eugênio Alves de Almeida, 996 - Cidade Nova, Porto União - SC, 89400-000, Brazil","R. Expedicionário Eugênio Alves de Almeida, 996 - Cidade Nova, Porto União - SC, 89400-000, Brazil",,,,https://panjiva.com/Novacki-Papel-Embalagens-SA/98285485,Manufacturer,Ekman,Ekman,United States,United States,,,,https://panjiva.com/Ekman/108474207,,NOVACKI PAPEL & EMBALAGENS SA,NOVACKI PAPEL & EMBALAGENS SA,47071000,"30 X 40 CONTAINERS CONTAINING 920 BALES OF WASTE PAPER APARAS,DESPERDICIOS DE PAPELAO CORRUGADO",60,741921.02
2021-07-19,HS Code (4-digit),Isidorio & Moraes Papeis E Embalagens Ltda,Isidorio & Moraes Papeis E Embalagens Ltda,RODOVIA ALKINDAR MONTEIRO J S N KM 298 AC VIC MOEN SITIO MOENDA - ITATIBA - SP - 13252810,RODOVIA ALKINDAR MONTEIRO J S N KM 298 AC VIC MOEN SITIO MOENDA - ITATIBA - SP - 13252810,,,,https://panjiva.com/Isidorio-Moraes-Papeis-E-Embalagens-Ltda/39202222,Manufacturer,Cellmark Inc.,Cellmark Inc.,"4294 Swinnea Rd, Memphis, TN 38118, USA","4294 Swinnea Rd, Memphis, TN 38118, USA",anamaria.candanoza@cellmark.com,+1 415 945 2400,,https://panjiva.com/Cellmark-Inc/34600185,Logistics,ISIDORIO & MORAES PAPEIS E EMBALAGENS LTDA,ISIDORIO & MORAES PAPEIS E EMBALAGENS LTDA,47071000,5 X 40 CONTAINERS CONTAINING 200 BALES OF WASTE PAPER DOUBLE SORTED OCC - APARAS DE PAPELAO OCC,10,124303
2021-07-19,HS Code (4-digit),Avelino Bragagnolo Sa Industria E Comercio,Avelino Bragagnolo Sa Industria E Comercio,"Rod. FAG 050 km 13 - R. Barra Grande, Faxinal dos Guedes - SC, 89694-000, Brazil","Rod. FAG 050 km 13 - R. Barra Grande, Faxinal dos Guedes - SC, 89694-000, Brazil",,,,https://panjiva.com/Avelino-Bragagnolo-SA-Industria-E-Comercio/36030413,Manufacturer,Cellmark Inc.,Cellmark Inc.,"4294 Swinnea Rd, Memphis, TN 38118, USA","4294 Swinnea Rd, Memphis, TN 38118, USA",anamaria.candanoza@cellmark.com,+1 415 945 2400,,https://panjiva.com/Cellmark-Inc/34600185,Logistics,AVELINO BRAGAGNOLO SA INDUSTRIA E COMERCIO,AVELINO BRAGAGNOLO SA INDUSTRIA E COMERCIO,47071000,1 X 40 CONTAINERS CONTAINING 37 BALES OF WASTE PAPER DOUBLE SORTED OCC APARAS DE PAPELONDULADO OCC,2,24122
2021-07-17,HS Code (4-digit),Trombini Embalagens Sa,Trombini Embalagens Sa,AVENIDA CACADOR 93 CENTRO - FRAIBURGO - SC - 0,AVENIDA CACADOR 93 CENTRO - FRAIBURGO - SC - 0,,,,https://panjiva.com/Trombini-Embalagens-SA/42209321,,Cellmark Inc.,Cellmark Inc.,"4294 Swinnea Rd, Memphis, TN 38118, USA","4294 Swinnea Rd, Memphis, TN 38118, USA",anamaria.candanoza@cellmark.com,+1 415 945 2400,,https://panjiva.com/Cellmark-Inc/34600185,Logistics,TROMBINI EMBALAGENS SA,TROMBINI EMBALAGENS SA,47071000,3 X 40 CONTAINERS CONTAINING 18 BALES OF WASTE PAPER DSOCC DOUBLE SORTED OCC PSI APARAS DESPERDICIOS DE PAPEL KRAFT ONDULADO ESPECIAL POS CONSUMO,6,74825
